region,continente,Mc,celdas,n_target,auc_modelo,auc_poisson,pr_auc,lift1,auc_temporal
Cascadia (PNW),N. America,2.75,31,67,0.41954509428944964,0.8091783364196224,0.017464023938842676,0.0,0.5401483271208216
Mexico (Guerrero),N. America,3.950000000000001,64,1125,0.5383067779953764,0.5996092279978518,0.254904962031097,0.9539447977805533,0.5166090803378582
Chile norte,S. America,4.150000000000001,155,5035,0.5113638174921635,0.7075463503254344,0.33379635220641896,0.3846044842092539,0.5105433736706692
Peru,S. America,4.150000000000001,45,1875,0.4785574655072603,0.605227297227076,0.2322967241808796,0.4877312775729592,0.5407033045785209
Italia (Apeninos),Europa,2.75,33,172,0.4412278629550238,0.6471467736951547,0.034911602255967275,1.2189458974204581,0.5561937207146262
Grecia (Egeo),Europa,3.1500000000000004,172,1563,0.4936165915378219,0.6876296140755764,0.11906384504732483,0.31096018571296546,0.4749074045658324
Japon,Asia,4.350000000000001,188,10921,0.6372334676536462,0.7225039188386897,0.4785803804088714,1.1901239296477109,0.46473638160279535
Sumatra,Asia,4.350000000000001,94,5845,0.5454874383269528,0.6562605924768731,0.48737008240417623,1.4594328470450542,0.5516179108388652
Magreb,Africa,2.75,17,174,0.4721436885131052,0.6868539965145442,0.03918614805439398,1.2944684384838963,0.6132912477160155
